term_id	exclusion_reason
NCIT:C100168	MONDO:excludeNonDisease
NCIT:C100169	MONDO:excludeNonDisease
NCIT:C10017	MONDO:excludeNonDisease
NCIT:C100170	MONDO:excludeNonDisease
NCIT:C100171	MONDO:excludeNonDisease
NCIT:C100172	MONDO:excludeNonDisease
NCIT:C100173	MONDO:excludeNonDisease
NCIT:C100174	MONDO:excludeNonDisease
NCIT:C100175	MONDO:excludeNonDisease
NCIT:C100176	MONDO:excludeNonDisease
NCIT:C100177	MONDO:excludeNonDisease
NCIT:C100178	MONDO:excludeNonDisease
NCIT:C100179	MONDO:excludeNonDisease
NCIT:C10018	MONDO:excludeNonDisease
NCIT:C100180	MONDO:excludeNonDisease
NCIT:C100181	MONDO:excludeNonDisease
NCIT:C100182	MONDO:excludeNonDisease
NCIT:C100183	MONDO:excludeNonDisease
NCIT:C100184	MONDO:excludeNonDisease
NCIT:C100185	MONDO:excludeNonDisease
NCIT:C100186	MONDO:excludeNonDisease
NCIT:C100187	MONDO:excludeNonDisease
NCIT:C100188	MONDO:excludeNonDisease
NCIT:C100189	MONDO:excludeNonDisease
NCIT:C10019	MONDO:excludeNonDisease
NCIT:C100190	MONDO:excludeNonDisease
NCIT:C100191	MONDO:excludeNonDisease
NCIT:C100192	MONDO:excludeNonDisease
NCIT:C100193	MONDO:excludeNonDisease
NCIT:C100194	MONDO:excludeNonDisease
NCIT:C100195	MONDO:excludeNonDisease
NCIT:C100196	MONDO:excludeNonDisease
NCIT:C100197	MONDO:excludeNonDisease
NCIT:C100198	MONDO:excludeNonDisease
NCIT:C100199	MONDO:excludeNonDisease
NCIT:C1002	MONDO:excludeNonDisease
NCIT:C10020	MONDO:excludeNonDisease
NCIT:C100200	MONDO:excludeNonDisease
NCIT:C100201	MONDO:excludeNonDisease
NCIT:C100202	MONDO:excludeNonDisease
NCIT:C100203	MONDO:excludeNonDisease
NCIT:C100204	MONDO:excludeNonDisease
NCIT:C100205	MONDO:excludeNonDisease
NCIT:C100206	MONDO:excludeNonDisease
NCIT:C100207	MONDO:excludeNonDisease
NCIT:C100208	MONDO:excludeNonDisease
NCIT:C100209	MONDO:excludeNonDisease
NCIT:C10021	MONDO:excludeNonDisease
NCIT:C100210	MONDO:excludeNonDisease
NCIT:C100211	MONDO:excludeNonDisease
NCIT:C100212	MONDO:excludeNonDisease
NCIT:C100213	MONDO:excludeNonDisease
NCIT:C100214	MONDO:excludeNonDisease
NCIT:C100215	MONDO:excludeNonDisease
NCIT:C100216	MONDO:excludeNonDisease
NCIT:C100217	MONDO:excludeNonDisease
NCIT:C100218	MONDO:excludeNonDisease
NCIT:C100219	MONDO:excludeNonDisease
NCIT:C10022	MONDO:excludeNonDisease
NCIT:C100220	MONDO:excludeNonDisease
NCIT:C100221	MONDO:excludeNonDisease
NCIT:C100222	MONDO:excludeNonDisease
NCIT:C100223	MONDO:excludeNonDisease
NCIT:C100224	MONDO:excludeNonDisease
NCIT:C100225	MONDO:excludeNonDisease
NCIT:C100226	MONDO:excludeNonDisease
NCIT:C100227	MONDO:excludeNonDisease
NCIT:C100228	MONDO:excludeNonDisease
NCIT:C100229	MONDO:excludeNonDisease
