subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0001246	typhus	skos:closeMatch	NCIT:C84688	Endemic Typhus Fever	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	endemic typhus fever	LEXMATCH
MONDO:0001246	typhus	skos:closeMatch	NCIT:C84688	Endemic Typhus Fever	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	endemic typhus fever	LEXMATCH
MONDO:0001246	typhus	skos:closeMatch	NCIT:C84689	Epidemic Louse-Borne Typhus	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	epidemic louse-borne typhus	LEXMATCH
MONDO:0001246	typhus	skos:closeMatch	NCIT:C84689	Epidemic Louse-Borne Typhus	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	epidemic louse-borne typhus	LEXMATCH
MONDO:0001657	brain cancer	skos:closeMatch	NCIT:C5115	Adult Malignant Brain Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	adult malignant brain neoplasm	LEXMATCH
MONDO:0001657	brain cancer	skos:closeMatch	NCIT:C5115	Adult Malignant Brain Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	malignant tumor of adult brain	LEXMATCH
MONDO:0001657	brain cancer	skos:closeMatch	NCIT:C5115	Adult Malignant Brain Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	adult malignant brain neoplasm	LEXMATCH
MONDO:0001657	brain cancer	skos:closeMatch	NCIT:C7710	Adult Brain Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	adult brain tumor	LEXMATCH
MONDO:0002038	head and neck carcinoma	skos:closeMatch	NCIT:C6077	Neck Carcinoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	carcinoma of the neck	LEXMATCH
MONDO:0002095	vascular cancer	skos:closeMatch	NCIT:C5380	Malignant Pulmonary Artery Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	malignant tumor of pulmonary artery	LEXMATCH
MONDO:0002095	vascular cancer	skos:closeMatch	NCIT:C5383	Malignant Pulmonary Vein Neoplasm	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	malignant tumor of pulmonary vein	LEXMATCH
MONDO:0002095	vascular cancer	skos:closeMatch	NCIT:C5388	Renal Vein Leiomyosarcoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	leiomyosarcoma of the renal vein	LEXMATCH
MONDO:0002251	hepatitis	skos:closeMatch	NCIT:C35331	Acute Hepatitis	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	acute hepatitis	LEXMATCH
MONDO:0002251	hepatitis	skos:closeMatch	NCIT:C35331	Acute Hepatitis	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	acute hepatitis	LEXMATCH
MONDO:0002334	hematopoietic and lymphoid system neoplasm	skos:closeMatch	NCIT:C116915	Liquid Tumor	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	blood cancer	LEXMATCH
MONDO:0002370	ovarian Brenner tumor	skos:closeMatch	NCIT:C4746	Benign Ovarian Brenner Tumor	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	benign ovarian brenner tumor	LEXMATCH
MONDO:0002370	ovarian Brenner tumor	skos:closeMatch	NCIT:C4746	Benign Ovarian Brenner Tumor	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	benign ovarian brenner tumor	LEXMATCH
MONDO:0002380	myoepithelial tumor	skos:closeMatch	NCIT:C7442	Benign Myoepithelioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	benign myoepithelioma	LEXMATCH
MONDO:0002380	myoepithelial tumor	skos:closeMatch	NCIT:C7442	Benign Myoepithelioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	benign myoepithelioma	LEXMATCH
MONDO:0002477	prostate neuroendocrine neoplasm	skos:closeMatch	NCIT:C158912	Prostate Neuroendocrine Carcinoma	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	prostate neuroendocrine carcinoma	LEXMATCH
MONDO:0002477	prostate neuroendocrine neoplasm	skos:closeMatch	NCIT:C158912	Prostate Neuroendocrine Carcinoma	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	prostate neuroendocrine carcinoma	LEXMATCH
MONDO:0002512	papillary adenocarcinoma	skos:closeMatch	NCIT:C7438	Invasive Papillary Adenocarcinoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	infiltrating papillary adenocarcinoma	LEXMATCH
MONDO:0002543	adult oligodendroglioma	skos:closeMatch	NCIT:C9376	Adult Brain Oligodendroglioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	adult brain oligodendroglioma	LEXMATCH
MONDO:0002543	adult oligodendroglioma	skos:closeMatch	NCIT:C9376	Adult Brain Oligodendroglioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	adult brain oligodendroglioma	LEXMATCH
MONDO:0002804	apocrine adenoma	skos:closeMatch	NCIT:C27527	Tubular Apocrine Adenoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	tubular apocrine adenoma	LEXMATCH
MONDO:0002804	apocrine adenoma	skos:closeMatch	NCIT:C27527	Tubular Apocrine Adenoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	tubular apocrine adenoma	LEXMATCH
MONDO:0002928	carcinosarcoma	skos:closeMatch	NCIT:C3730	Mixed Mesodermal (Mullerian) Tumor	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	mixed mullerian tumor	LEXMATCH
MONDO:0003523	gastrin-producing neuroendocrine tumor	skos:closeMatch	NCIT:C65188	Malignant Gastrinoma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	malignant gastrinoma	LEXMATCH
