subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0013046	glycogen storage disease due to muscle beta-enolase deficiency	skos:exactMatch	DOID:0061288	glycogen storage disease XIII	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612932	LEXMATCH
MONDO:0013047	glycogen storage disease due to lactate dehydrogenase M-subunit deficiency	skos:exactMatch	DOID:0061286	glycogen storage disease XI	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612933	LEXMATCH
MONDO:0013609	Meckel syndrome, type 10	skos:exactMatch	DOID:0061295	Meckel syndrome 10	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614175	LEXMATCH
MONDO:0013630	Meckel syndrome, type 9	skos:exactMatch	DOID:0061294	Meckel syndrome 9	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614209	LEXMATCH
MONDO:0014085	hydrocephalus, nonsyndromic, autosomal recessive 2	skos:exactMatch	DOID:0070683	congenital hydrocephalus 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615219	LEXMATCH
MONDO:0014164	Meckel syndrome, type 11	skos:exactMatch	DOID:0061296	Meckel syndrome 11	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615397	LEXMATCH
MONDO:0014552	lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome	skos:exactMatch	DOID:0061297	Meckel syndrome 12	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616258	LEXMATCH
MONDO:0014885	Hermansky-Pudlak syndrome 10	skos:exactMatch	DOID:0061300	Hermansky-Pudlak syndrome 10	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hermansky-pudlak syndrome type 10	LEXMATCH
MONDO:0016349	congenital hydrocephalus	skos:exactMatch	DOID:0070681	congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	icd10cm:q03	LEXMATCH
MONDO:0016349	congenital hydrocephalus	skos:exactMatch	DOID:0070681	congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omimps:236600	LEXMATCH
MONDO:0017841	obsolete autoimmune disease with skin involvement	skos:exactMatch	DOID:0060039	autoimmune disease of skin and connective tissue	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0020796	Silver-Russell syndrome 1	skos:exactMatch	DOID:14681	Silver-Russell syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:180860	LEXMATCH
MONDO:0021199	obsolete disease by anatomical system	skos:exactMatch	DOID:7	disease of anatomical entity	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0021668	obsolete disorder involving pain	skos:exactMatch	DOID:0060164	pain disorder	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0024657	obsolete macrocystic neurilemmoma	skos:exactMatch	DOID:3203	macrocystic neurilemmoma	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0030471	Galloway-Mowat syndrome 9	skos:exactMatch	DOID:0061292	Galloway-Mowat syndrome 9	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619603	LEXMATCH
MONDO:0030476	Galloway-Mowat syndrome 10	skos:exactMatch	DOID:0061293	Galloway-Mowat syndrome 10	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619609	LEXMATCH
MONDO:0030819	meckel syndrome 14	skos:exactMatch	DOID:0070703	Meckel syndrome 14	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619879	LEXMATCH
MONDO:0030903	Hermansky-Pudlak syndrome 11	skos:exactMatch	DOID:0061301	Hermansky-Pudlak syndrome 11	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hermansky-pudlak syndrome type 11	LEXMATCH
MONDO:0032646	congenital anomalies of kidney and urinary tract 3	skos:exactMatch	DOID:0051078	congenital anomalies of the kidney and urinary tract 3	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618270	LEXMATCH
MONDO:0032691	Galloway-Mowat syndrome 6	skos:exactMatch	DOID:0061289	Galloway-Mowat syndrome 6	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618347	LEXMATCH
MONDO:0032692	Galloway-Mowat syndrome 7	skos:exactMatch	DOID:0061290	Galloway-Mowat syndrome 7	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618348	LEXMATCH
MONDO:0032692	Galloway-Mowat syndrome 7	skos:exactMatch	DOID:0061299	retinitis pigmentosa 101	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618348	LEXMATCH
